name,width_depleted,orientation,critical_depth,width_max,offset,tilt,gain,critical_depth_min,critical_depth_max,width_max_min,width_max_max,width_depleted_preferred
2014-08-23-593,0.75,1,0.300,6.00,-0.050,0.0000,20.109,0.300,0.450,3.50,6.00,1.50
2014-08-23-594,0.75,-1,0.250,5.00,0.200,0.0300,16.303,0.250,0.300,4.50,5.50,0.00
2014-08-23-595,0.75,1,0.400,5.00,-0.150,-0.0150,13.936,0.350,0.450,3.50,6.00,0.50
2014-08-23-596,0.75,-1,0.400,6.00,0.150,-0.0150,60.105,0.400,0.450,5.50,6.50,0.25
2014-08-23-597,0.75,1,0.200,3.00,0.000,0.0300,22.730,0.100,0.650,1.00,3.50,1.00
2014-08-23-598,0.75,-1,0.500,5.50,-0.050,0.0000,100.430,0.500,0.500,5.50,5.50,2.00
2014-08-23-599,0.75,1,0.450,0.00,0.050,0.0300,-19.405,0.150,0.500,0.00,10.00,0.00
2014-08-23-600,0.75,-1,0.250,6.00,-0.250,0.0300,9.845,0.150,0.250,4.00,10.00,0.75
2014-08-23-601,0.75,1,0.550,3.00,0.400,-0.0300,22.915,0.550,0.600,2.50,3.50,0.75
2014-08-23-602,0.75,1,0.350,6.00,0.000,-0.0150,44.084,0.350,0.350,5.50,7.00,0.75
2014-08-23-603,0.75,-1,0.400,6.00,-0.100,0.0300,34.737,0.350,0.400,6.00,9.50,2.00
2014-08-23-604,0.75,-1,0.300,6.50,0.100,-0.0300,25.749,0.300,0.300,6.50,7.00,0.00
2014-08-23-605,0.75,-1,0.450,1.00,0.050,0.0150,5.995,0.150,1.000,0.50,3.50,0.25
2014-08-23-606,0.75,-1,0.350,4.50,0.450,0.0150,14.856,0.300,0.350,4.50,7.00,0.50
2014-08-23-607,0.75,-1,0.250,3.00,-0.500,-0.0300,10.632,0.200,0.250,3.00,3.50,1.00
2014-08-23-608,0.75,1,0.050,8.00,0.000,-0.0300,2.496,0.050,0.300,0.00,9.50,0.00
2014-08-23-609,0.75,-1,0.400,6.50,0.000,0.0000,41.277,0.400,0.400,6.50,7.00,0.75
2014-08-23-610,0.75,1,0.450,5.00,0.300,-0.0300,2.979,0.400,0.450,5.00,6.00,1.25
2014-08-23-611,0.75,-1,0.850,4.00,0.250,0.0300,17.755,0.850,0.850,1.50,4.00,1.50
2014-08-23-612,0.75,1,0.350,3.00,-0.050,0.0000,19.100,0.300,0.500,2.50,4.50,0.00
